Name,num_imgs,Layers,Feat,Lr ,STD,n_sample,TIME TAKEN,PSNR
178,26,4,64,0.0002,0.14,16,175,19.058886
178,26,4,64,0.0001,0.12,16,183,18.801233
178,26,4,64,0.0001,0.12,16,185,18.801233
178,26,4,64,0.0001,0.12,16,183,18.801233
178,26,4,64,0.0001,0.12,16,184,18.801233
178,26,4,128,0.0001,0.14,16,197,19.244514
178,26,4,128,0.0001,0.14,16,199,19.244514
178,26,4,128,0.0001,0.14,16,198,19.244514
178,26,6,128,0.0001,0.12,16,203,19.450167
178,26,6,128,0.0002,0,16,206,19.70505
178,26,6,128,0.0002,0.14,16,209,19.69829
178,26,6,128,0.0001,0,16,207,19.434843
178,26,6,128,0.0002,0.12,16,210,19.828331
178,26,6,128,0.0001,0.14,16,213,19.420183
178,26,10,256,0.0005,0,32,611,21.205946
178,26,10,256,0.0005,0,32,609,21.205946
178,26,10,256,0.0005,0,32,610,21.205946
178,26,6,256,0.0005,0.12,16,256,20.997093
178,26,6,256,0.0005,0,64,894,20.918175
178,26,10,256,0.0002,0,16,328,20.909758
178,26,10,256,0.0002,0,16,327,20.909758
178,26,10,256,0.0002,0,16,329,20.909758
178,26,6,256,0.0005,0,16,257,20.906878
178,26,6,256,0.0005,0,72,1002,20.885
178,26,6,256,0.0005,0.12,32,476,20.871971
178,26,6,256,0.0005,0.12,64,891,20.824347
178,26,10,256,0.0002,0,32,608,20.812799
168,26,4,64,0.0002,0.12,16,189,18.028658
168,26,6,128,0.0001,0.12,16,213,18.623598
168,26,6,128,0.0002,0.12,16,213,18.978664
168,26,6,128,0.0005,0.12,16,214,19.261141
168,26,6,128,0.0002,0,16,214,18.968889
168,26,6,128,0.0001,0.14,16,214,18.402571
168,26,6,128,0.0002,0.14,16,214,18.947104
168,26,6,128,0.0005,0.14,16,215,19.430107
168,26,6,128,0.0001,0,16,215,18.550999
168,26,6,128,0.0005,0,16,217,19.310713
168,26,4,256,0.0001,0,16,221,18.560389
168,26,4,256,0.0001,0,16,219,18.560389
168,26,4,256,0.0001,0,16,222,18.560389
168,26,4,256,0.0001,0,16,223,18.560389
