Name,num_imgs,Layers,Feat,Lr ,STD,n_sample,PSNR
244,26,8,64,0.0005,0.14,32,19.31287956
244,26,6,128,0.0001,0,64,18.50625038
244,26,6,256,0.0005,0.14,64,19.8706913
244,26,8,256,0.0002,0,72,19.61966515
244,26,4,64,0.0001,0,64,17.79961967
244,26,4,64,0.0002,0.12,16,18.03142738
244,26,8,64,0.0001,0.12,16,18.41059685
244,26,4,256,0.0002,0.14,64,18.83172035
244,26,8,128,0.0002,0.12,32,19.32363701
244,26,8,64,0.0005,0.12,16,19.28704643
244,26,6,128,0.0001,0.12,16,18.51429558
244,26,4,256,0.0002,0.14,16,18.84503746
244,26,8,256,0.0005,0.12,16,19.96598053
244,26,10,64,0.0002,0.12,64,19.0351944
244,26,8,128,0.0002,0.14,16,19.33777428
244,26,4,64,0.0002,0.12,72,18.03113365
244,26,8,128,0.0002,0,64,19.31443024
244,26,8,128,0.0002,0.14,72,19.31628799
244,26,8,128,0.0001,0.12,72,19.00574684
244,26,4,256,0.0002,0.12,32,18.8335762
244,26,6,128,0.0005,0,64,19.40574646
244,26,6,256,0.0005,0.14,16,19.97699547
244,26,10,256,0.0005,0.14,16,20.12605286
244,26,6,128,0.0005,0,32,19.41178703
244,26,6,128,0.0005,0,16,19.41605186
244,26,6,128,0.0005,0,72,19.40502548
244,26,6,128,0.0005,0.12,64,19.40573692
244,26,6,128,0.0005,0.12,32,19.41336823
244,26,6,128,0.0005,0.12,16,19.41653442
244,26,6,128,0.0005,0.12,72,19.40559196
244,26,6,128,0.0005,0.14,64,19.40576172
244,26,6,128,0.0005,0.14,32,19.39455223
244,26,6,128,0.0005,0.14,16,19.41830635
244,26,6,128,0.0005,0.14,72,19.40497208
244,26,6,128,0.0001,0,32,18.50890541
244,26,6,128,0.0001,0,16,18.51345825
244,26,6,128,0.0001,0,72,18.50580215
244,26,6,128,0.0001,0.12,64,18.50609589
244,26,6,128,0.0001,0.12,32,18.50870705
244,26,6,128,0.0001,0.12,72,18.50541306
244,26,6,128,0.0001,0.14,64,18.50606537
244,26,6,128,0.0001,0.14,32,18.50840187
244,26,6,128,0.0001,0.14,16,18.51347542
244,26,6,128,0.0001,0.14,72,18.50514221
244,26,6,128,0.0002,0,64,18.92718697
244,26,6,128,0.0002,0,32,18.92918205
244,26,6,128,0.0002,0,16,18.93150139
244,26,6,128,0.0002,0,72,18.9280777
244,26,6,128,0.0002,0.12,64,18.92755127
244,26,6,128,0.0002,0.12,32,18.92871857
355,26,4,64,0.0002,0.12,32,17.2521019
355,26,6,256,0.0002,0.14,16,17.95388031
355,26,8,256,0.0002,0,64,18.27308655
355,26,6,256,0.0005,0.12,72,18.38016129
355,26,6,64,0.0005,0.12,72,17.83769226
355,26,6,128,0.0002,0.14,72,17.68571663
355,26,6,64,0.0001,0,32,17.31839752
355,26,8,64,0.0005,0,16,18.14421272
355,26,4,64,0.0001,0,72,17.04937744
355,26,10,64,0.0005,0,32,18.38358688
355,26,6,64,0.0005,0.14,64,17.83371544
355,26,4,256,0.0001,0,32,17.25137329
355,26,10,256,0.0002,0.12,72,18.42506599
355,26,8,256,0.0001,0,32,17.95719147
355,26,10,256,0.0005,0.14,32,18.60059166
355,26,6,256,0.0002,0.14,32,17.9559288
355,26,10,256,0.0002,0.14,16,18.46062851
355,26,8,128,0.0005,0.12,64,18.42759323
355,26,6,128,0.0001,0,16,17.53052521
355,26,8,128,0.0001,0,72,17.86245537
355,26,10,256,0.0005,0.14,16,18.62639427
355,26,6,128,0.0005,0,64,18.11517906
355,26,6,128,0.0005,0,32,18.12554359
355,26,6,128,0.0005,0,16,18.12249184
355,26,6,128,0.0005,0,72,18.10549164
355,26,6,128,0.0005,0.12,64,18.1166172
355,26,6,128,0.0005,0.12,32,18.12512398
355,26,6,128,0.0005,0.12,16,18.12344933
355,26,6,128,0.0005,0.12,72,18.10628319
355,26,6,128,0.0005,0.14,64,18.11711693
355,26,6,128,0.0005,0.14,32,18.12220192
355,26,6,128,0.0005,0.14,16,18.12590027
355,26,6,128,0.0005,0.14,72,18.11162567
355,26,6,128,0.0001,0,64,17.52761269
355,26,6,128,0.0001,0,32,17.52693939
355,26,6,128,0.0001,0,72,17.52633858
355,26,6,128,0.0001,0.12,64,17.52710533
355,26,6,128,0.0001,0.12,32,17.52756691
355,26,6,128,0.0001,0.12,16,17.53003693
355,26,6,128,0.0001,0.12,72,17.52685738
355,26,6,128,0.0001,0.14,64,17.52760506
355,26,6,128,0.0001,0.14,32,17.52816963
355,26,6,128,0.0001,0.14,16,17.53108788
355,26,6,128,0.0001,0.14,72,17.5267334
355,26,6,128,0.0002,0,64,17.68465233
355,26,6,128,0.0002,0,32,17.68971825
355,26,6,128,0.0002,0,16,17.68708229
355,26,6,128,0.0002,0,72,17.68425751
355,26,6,128,0.0002,0.12,64,17.6835804
355,26,6,128,0.0002,0.12,32,17.68972206
288,26,4,64,0.0005,0,64,16.65300751
288,26,4,256,0.0001,0.12,32,16.61208153
288,26,4,64,0.0005,0.12,32,16.64461517
288,26,8,64,0.0005,0.14,32,16.74968529
288,26,10,128,0.0001,0.14,16,17.15744972
288,26,6,128,0.0002,0.12,72,16.89015961
288,26,6,256,0.0005,0.12,72,17.25576782
288,26,8,128,0.0005,0,16,17.49382401
288,26,10,64,0.0001,0,32,16.99860001
288,26,6,64,0.0001,0,16,16.7123394
288,26,6,256,0.0005,0.14,72,17.23575401
288,26,4,256,0.0002,0,32,16.71345711
